,Unnamed: 0,Num_Cells_Strain1,Num_Cells_Strain2,Num_Cells_Strain3,t_deg,k_degA,k_degB,ratioS1,ratioS2,ratioS3_S1,ratioS3_S2,posS1,posS2,posS3,Stability,s1
24,24,3,5,9,36,0.3,0.5,0.6554021577256928,0.8547460458488263,1.0257484532983498,1.0497337187304592,"[[ -65  194]
 [-111   -6]
 [-118  140]]","[[ 184  -44]
 [  92  -48]
 [  47   53]
 [ -15  -33]
 [-184   27]]","[[  47   53]
 [ -15  -33]
 [-184   27]
 [ -62   51]
 [ -96  120]
 [  60 -113]
 [ 132 -118]
 [-184  127]
 [ -53  -61]]",1.0,"frozenset({-111, 194, -6, -118, 140, -65})"
26,26,7,3,5,36,0.3,0.5,1.210339284055598,0.9154658838569024,1.0109715722284387,1.2709705921339196,"[[-176  123]
 [ -98   62]
 [-170 -159]
 [   8  -41]
 [-198 -189]
 [ -20 -141]
 [ 170  -31]]","[[ -94 -107]
 [ 107 -171]
 [   4  -19]]","[[   8  -41]
 [-198 -189]
 [ -20 -141]
 [ 170  -31]
 [ -94 -107]]",1.0,"frozenset({-159, -31, -189, 8, 170, -20, -176, -98, -141, -170, -41, -198, 123, 62})"
29,29,10,10,7,36,0.3,0.5,0.9174559664162762,0.6645416733223266,0.7118449836171407,1.168535982665072,"[[ 107  132]
 [-144 -195]
 [ 181 -183]
 [ 130 -192]
 [ 177 -179]
 [ -30   58]
 [ 133  -78]
 [ 169   85]
 [ -71   25]
 [ 127  130]]","[[  16 -101]
 [  -1  149]
 [-180 -134]
 [-161   97]
 [-128  -77]
 [-143 -131]
 [-107 -185]
 [ -43 -197]
 [ -51  -66]
 [ -34 -164]]","[[  16 -101]
 [  -1  149]
 [-180 -134]
 [-161   97]
 [-128  -77]
 [-143 -131]
 [-107 -185]]",1.0,"frozenset({-192, 130, 132, 133, -183, -179, 85, 25, -30, 169, 107, -144, 177, -78, 181, -71, 58, -195, 127})"
32,32,4,3,4,36,0.3,0.5,0.9648064590693896,1.106513513632548,1.1847084731089204,1.316989881790546,"[[ 38 164]
 [170  78]
 [-98  -9]
 [-26 167]]","[[ -34   27]
 [ 187 -140]
 [ -39   81]]","[[ -26  167]
 [ -34   27]
 [ 187 -140]
 [ -39   81]]",1.0,"frozenset({164, 38, -26, 167, 170, 78, -9, -98})"
37,37,4,6,10,36,0.3,0.5,1.0865046315197333,1.0276333123585792,1.0813043929250157,1.1599872933996325,"[[ 15 -92]
 [190 181]
 [154  -4]
 [158  98]]","[[ 149   93]
 [  88 -177]
 [ 117   67]
 [ -38   56]
 [ 139 -138]
 [  66  -38]]","[[ 117   67]
 [ -38   56]
 [ 139 -138]
 [  66  -38]
 [ 181 -163]
 [ 117  109]
 [  42  -21]
 [  52  164]
 [ 150  139]
 [-166  -56]]",1.0,"frozenset({98, -92, 15, 181, 154, 158, -4, 190})"
40,40,9,3,6,36,0.3,0.5,1.0730544729563825,1.254347047543536,1.1959917025968587,1.1818741323717643,"[[  40   50]
 [-139 -183]
 [ -38  -49]
 [ -66  -20]
 [   7   14]
 [ 118   86]
 [  60 -137]
 [-177    0]
 [ 195 -200]]","[[  84 -179]
 [ 105    3]
 [ -99   73]]","[[ -66  -20]
 [   7   14]
 [ 118   86]
 [  60 -137]
 [-177    0]
 [ 195 -200]]",1.0,"frozenset({0, 195, 7, -183, 14, -49, -177, 86, -38, 40, -20, 50, -139, 118, -137, -200, 60, -66})"
47,47,4,10,9,36,0.3,0.5,0.9078141827629392,1.1049553958176022,1.039010164080118,1.0387882717065209,"[[ 191 -109]
 [  78 -180]
 [ 129   89]
 [  75   98]]","[[-199   96]
 [  99 -155]
 [  84  120]
 [  67  156]
 [  84 -106]
 [ -83 -159]
 [ -97 -106]
 [ 112   70]
 [  57 -198]
 [ -76  196]]","[[ -97 -106]
 [ 112   70]
 [  57 -198]
 [ -76  196]
 [ -53  -11]
 [  72  135]
 [  17  -17]
 [ -47  192]
 [ 102 -172]]",1.0,"frozenset({129, 98, 75, -180, 78, -109, 89, 191})"
48,48,10,10,10,36,0.3,0.5,0.79853321896973,1.1540993265015564,1.1540993265015564,1.1111111111111114,"[[-117  -50]
 [ -67 -130]
 [  -4   14]
 [  80  -56]
 [  71   12]
 [ -24  149]
 [  47  110]
 [  49 -188]
 [  99   45]
 [ 114 -162]]","[[-200  200]
 [ 126  -78]
 [   3  161]
 [  23  -86]
 [ 118  105]
 [-145 -190]
 [ 152   79]
 [-176   48]
 [-186  177]
 [-157  -51]]","[[-200  200]
 [ 126  -78]
 [   3  161]
 [  23  -86]
 [ 118  105]
 [-145 -190]
 [ 152   79]
 [-176   48]
 [-186  177]
 [-157  -51]]",1.0,"frozenset({-188, 71, -56, -117, 12, 14, -50, 80, 149, -162, 99, -24, 45, 110, 47, 49, 114, -4, -67, -130})"
52,52,4,8,9,36,0.3,0.5,1.2047262635299891,0.9399866739734596,1.000383210216127,0.938707856332972,"[[-182  -88]
 [ -93  139]
 [ 126 -181]
 [  56   46]]","[[  56  -57]
 [ 193   82]
 [ 125  199]
 [ 180  -42]
 [-182  -84]
 [ 125   37]
 [ -92  -70]
 [  79  -94]]","[[-182  -84]
 [ 125   37]
 [ -92  -70]
 [  79  -94]
 [-155  199]
 [-189   71]
 [  19  -53]
 [ -60   90]
 [-145 -138]]",1.0,"frozenset({-93, -88, -182, 139, -181, 46, 56, 126})"
55,55,8,5,6,36,0.3,0.5,0.9074672896469635,1.1123648266865838,1.1659544675010924,1.0736395813615824,"[[ 115 -175]
 [  52   95]
 [ -15   -8]
 [  60  -86]
 [ -18   75]
 [ -95  115]
 [-180  135]
 [ -90  -42]]","[[  16 -200]
 [  97 -138]
 [-120   86]
 [  95 -169]
 [-192   57]]","[[ -95  115]
 [-180  135]
 [ -90  -42]
 [  16 -200]
 [  97 -138]
 [-120   86]]",1.0,"frozenset({-95, -90, 135, -86, 75, -180, -18, -175, -15, 115, 52, -42, -8, 60, 95})"
57,57,6,6,6,36,0.3,0.5,0.8813869344295872,1.142723386780064,1.142723386780064,1.2000000000000002,"[[-145  -70]
 [ 178 -111]
 [  23   37]
 [  81   75]
 [ 124  -61]
 [-117 -198]]","[[-127  158]
 [-196 -149]
 [-100  197]
 [ 196  -70]
 [ 124    8]
 [  70  174]]","[[-127  158]
 [-196 -149]
 [-100  197]
 [ 196  -70]
 [ 124    8]
 [  70  174]]",1.0,"frozenset({-61, 37, 75, -117, -198, -145, -111, 178, 81, 23, -70, 124})"
60,60,10,6,7,36,0.3,0.5,1.0564187638292253,0.8832800416712949,0.9811412154039876,1.155116150419843,"[[ 169  -22]
 [  59 -121]
 [ -64  -67]
 [-142 -117]
 [   1 -200]
 [ -61   42]
 [ -94   16]
 [  30 -149]
 [  -5 -191]
 [ 193  -14]]","[[  94  -44]
 [ 112 -119]
 [ 164  -83]
 [ -97  -50]
 [   4   25]
 [ 172 -128]]","[[ -94   16]
 [  30 -149]
 [  -5 -191]
 [ 193  -14]
 [  94  -44]
 [ 112 -119]
 [ 164  -83]]",1.0,"frozenset({-64, 1, -191, 193, -61, -121, -117, 16, 30, -94, -5, 169, 42, -22, -149, -142, -14, -200, 59, -67})"
61,61,10,3,2,36,0.3,0.5,0.7420994478514579,0.807061940223884,0.1719633168967276,0.0992197057487546,"[[-164   13]
 [ -15  -53]
 [  16  -94]
 [  34  -98]
 [  40 -118]
 [  84   75]
 [-103 -172]
 [  45  -94]
 [-137 -159]
 [-110  169]]","[[ 96 188]
 [ 51 105]
 [148 -76]]","[[  34  -98]
 [  40 -118]]",1.0,"frozenset({-118, -53, 75, 13, 16, -110, 84, -172, -103, -164, -98, -159, -94, 34, 40, 169, 45, -15, -137})"
63,63,5,5,9,36,0.3,0.5,0.8791526288141562,0.8717294661611923,0.8922678958736062,1.1578874357841504,"[[  94   66]
 [-114   44]
 [ 179 -110]
 [ -44   42]
 [ 170  152]]","[[ -71 -182]
 [ -45 -154]
 [-152  120]
 [ 115 -125]
 [ 118 -145]]","[[ -71 -182]
 [ -45 -154]
 [-152  120]
 [ 115 -125]
 [ 118 -145]
 [ 165 -154]
 [ 144  -76]
 [ -95   12]
 [-183 -148]]",1.0,"frozenset({66, 42, 170, 44, -114, -110, 179, -44, 152, 94})"
64,64,8,8,4,36,0.3,0.5,1.153025563831528,0.9912658102466656,0.9282945702305956,1.1028929063342512,"[[  -8 -199]
 [ 153   96]
 [ 146 -119]
 [-132 -164]
 [-107  172]
 [ -25  -11]
 [  11 -160]
 [  -7   -3]]","[[  62  -13]
 [-178  -78]
 [  48  -68]
 [ -88 -149]
 [  13 -180]
 [-125  -11]
 [ -65 -188]
 [ 196   40]]","[[  62  -13]
 [-178  -78]
 [  48  -68]
 [ -88 -149]]",1.0,"frozenset({-119, 11, 146, -107, 153, -164, -7, 96, -160, -25, 172, -11, -8, -199, -132, -3})"
65,65,9,3,10,36,0.3,0.5,1.0155677222671606,0.9154898560201272,1.0904920140949974,1.168412282255713,"[[ -27  169]
 [ 117   29]
 [ -55  155]
 [  83  -76]
 [-123  126]
 [ 123  157]
 [ -47  112]
 [ 170  131]
 [ -35 -183]]","[[ -84  -42]
 [ -78   66]
 [  96 -113]]","[[  83  -76]
 [-123  126]
 [ 123  157]
 [ -47  112]
 [ 170  131]
 [ -35 -183]
 [ -84  -42]
 [ -78   66]
 [  96 -113]
 [ 129   96]]",1.0,"frozenset({131, -123, -55, -183, -47, 83, 155, -35, 157, 29, -27, 169, 170, 112, -76, 117, 123, 126})"
67,67,9,2,6,36,0.3,0.5,0.7619087102463321,1.4675435537594224,1.1516779695660813,0.7721843661011947,"[[-141  -52]
 [ 198 -120]
 [ -16 -197]
 [  25  -29]
 [ 169   82]
 [ 159  -93]
 [-102  -43]
 [  75  -55]
 [  27  -18]]","[[ -32 -146]
 [-100  198]]","[[ -16 -197]
 [  25  -29]
 [ 169   82]
 [ 159  -93]
 [-102  -43]
 [  75  -55]]",1.0,"frozenset({198, -120, -55, 75, -52, 82, -43, 25, -102, 27, 159, -29, -93, 169, -18, -16, -141, -197})"
68,68,6,8,6,36,0.3,0.5,0.7604010102904961,1.0948655301050452,1.0478619196580243,1.128636290483361,"[[ 85 -10]
 [122 -11]
 [ 95 153]
 [138 -80]
 [-33 -34]
 [153 131]]","[[  14  -38]
 [ -15 -146]
 [-174   98]
 [  15  187]
 [  26   62]
 [ 168 -160]
 [  37  103]
 [-142  140]]","[[-174   98]
 [  15  187]
 [  26   62]
 [ 168 -160]
 [  37  103]
 [-142  140]]",1.0,"frozenset({-33, 131, 138, -80, -11, 85, -10, 153, 122, -34, 95})"
69,69,10,6,7,36,0.3,0.5,1.1111356393057403,0.9965870646736504,1.0768868362738495,1.0939936299958888,"[[ 103  129]
 [  97   50]
 [-161  113]
 [ -75 -198]
 [ -90   -2]
 [  64 -195]
 [  37 -194]
 [-199  -14]
 [  98 -131]
 [-112  156]]","[[-128   46]
 [-108  172]
 [  78 -110]
 [ 127  133]
 [ 116   81]
 [ -44  -70]]","[[  37 -194]
 [-199  -14]
 [  98 -131]
 [-112  156]
 [-128   46]
 [-108  172]
 [  78 -110]]",1.0,"frozenset({64, 129, -112, 156, -161, 97, 98, 37, -90, 103, -131, 113, 50, -14, -75, -2, -199, -198, -195, -194})"
71,71,10,5,8,36,0.3,0.5,0.9915059949648632,1.1319213211479058,1.0472161928162231,0.928936786084919,"[[ -55  -14]
 [  60   11]
 [ 121   -6]
 [ -42 -197]
 [-149   -1]
 [ 137   46]
 [ 145   99]
 [-118   15]
 [ 150   83]
 [ -47  114]]","[[ -69  109]
 [  90 -158]
 [ 140   68]
 [   6 -158]
 [ -68  -61]]","[[ 137   46]
 [ 145   99]
 [-118   15]
 [ 150   83]
 [ -47  114]
 [ -69  109]
 [  90 -158]
 [ 140   68]]",1.0,"frozenset({137, -118, 11, -55, 15, 145, -47, 83, 150, -42, 99, -149, 46, -14, 114, 121, -6, -197, 60, -1})"
73,73,5,6,9,36,0.3,0.5,0.9703063865395338,1.1087718067890118,1.2173893863980976,1.2280219544100983,"[[ -25   50]
 [   2   86]
 [-196  121]
 [  80   28]
 [ -69   38]]","[[ -30   52]
 [ 140    5]
 [-172  134]
 [-147  144]
 [-135   42]
 [-146  103]]","[[ 140    5]
 [-172  134]
 [-147  144]
 [-135   42]
 [-146  103]
 [ 136 -164]
 [-169   -6]
 [-131 -111]
 [  31   15]]",1.0,"frozenset({2, 38, -25, 28, 80, 50, 86, 121, -69, -196})"
81,81,3,4,7,36,0.3,0.5,0.9983015491222572,0.8041588650584336,0.8525266243105954,1.1206009220174764,"[[  -9  158]
 [ 172  139]
 [-181   15]]","[[-160  141]
 [ 139  -75]
 [ 106 -132]
 [ 121  -62]]","[[ 139  -75]
 [ 106 -132]
 [ 121  -62]
 [ -36   75]
 [ 106  179]
 [  16 -148]
 [-102   79]]",1.0,"frozenset({172, -9, -181, 139, 158, 15})"
83,83,4,9,2,36,0.3,0.5,1.111802705111066,1.0346989339423085,0.1273581044054973,0.170422315728036,"[[ 154  130]
 [  70 -113]
 [-192 -179]
 [ -37 -122]]","[[-159 -107]
 [-102   46]
 [ 138 -102]
 [ 182  173]
 [   2 -138]
 [ 164  153]
 [ 150  188]
 [  -4   52]
 [-169  -49]]","[[164 153]
 [150 188]]",1.0,"frozenset({-192, 130, 70, -122, -179, -113, 154, -37})"
88,88,10,3,8,36,0.3,0.5,1.0915506434759386,1.0170777425423407,1.0836078542092182,1.0599766305063123,"[[-168 -181]
 [  46    9]
 [ 105 -170]
 [-148  -43]
 [-190   60]
 [ -33  194]
 [  81  154]
 [  79   80]
 [ 130  -43]
 [ 191   54]]","[[ 127 -131]
 [  73 -156]
 [ -53  121]]","[[-148  -43]
 [-190   60]
 [ -33  194]
 [  81  154]
 [  79   80]
 [ 130  -43]
 [ 191   54]
 [ 127 -131]]",1.0,"frozenset({130, -190, 194, 9, -181, 79, 80, 81, -43, -170, -168, 154, -33, 105, -148, 46, 54, 60, 191})"
89,89,7,7,9,36,0.3,0.5,1.1087003685334462,0.8978214284818796,0.9044482515444664,1.1207045192303546,"[[ 194 -148]
 [ -54  175]
 [-144  -45]
 [ -67 -161]
 [  37   -2]
 [  62  102]
 [ 176  153]]","[[  99 -168]
 [ -99 -148]
 [-114   53]
 [-176 -154]
 [ -72  123]
 [ -12   45]
 [ -13 -151]]","[[  99 -168]
 [ -99 -148]
 [-114   53]
 [-176 -154]
 [ -72  123]
 [ -12   45]
 [ -13 -151]
 [ 111 -107]
 [ 108 -192]]",1.0,"frozenset({194, 37, 102, -54, -148, 175, -144, 176, -45, 62, 153, -67, -2, -161})"
91,91,9,4,9,36,0.3,0.5,1.0499848828707794,1.2145316475543584,1.1028299590195834,1.0969785439047954,"[[-138  -75]
 [ -88 -140]
 [ 165  128]
 [  52   11]
 [  92   56]
 [  29  111]
 [ -17  184]
 [ -48 -155]
 [ -17 -147]]","[[ -78  146]
 [-125  -67]
 [ -13 -195]
 [  98  -15]]","[[  92   56]
 [  29  111]
 [ -17  184]
 [ -48 -155]
 [ -17 -147]
 [ -78  146]
 [-125  -67]
 [ -13 -195]
 [  98  -15]]",1.0,"frozenset({128, 11, -48, 92, 29, 184, 165, -155, -88, -147, 111, -17, -140, -75, -138, 52, 56})"
93,93,3,4,4,36,0.3,0.5,0.6977405061931073,0.9322548763958852,0.9285632307725838,1.2932186244047337,"[[  37   17]
 [ -87  142]
 [-185  163]]","[[-144  131]
 [ -81 -160]
 [  95 -134]
 [  79 -192]]","[[ -81 -160]
 [  95 -134]
 [  79 -192]
 [  -6  196]]",1.0,"frozenset({17, 163, 37, -185, -87, 142})"
94,94,2,4,7,36,0.3,0.5,0.5930401828337405,1.4946261932429323,1.1987014030177994,1.0495365718939549,"[[93 82]
 [20 38]]","[[   2  -19]
 [ 133   50]
 [ 142 -181]
 [ 138  167]]","[[ 142 -181]
 [ 138  167]
 [   3 -110]
 [ 141   17]
 [ 127  -31]
 [ 197   18]
 [  65   73]]",1.0,"frozenset({82, 20, 93, 38})"
96,96,9,8,6,36,0.3,0.5,1.06807401163844,0.9084431269486068,1.113463742071541,1.2448213190186577,"[[ -38  -67]
 [-135  121]
 [ 118 -193]
 [ 120  -70]
 [ -75  118]
 [-163 -177]
 [  81  155]
 [ 146   90]
 [-190 -142]]","[[ -88 -103]
 [ 192  164]
 [  87  -65]
 [  97 -162]
 [ 150  158]
 [ -89 -101]
 [ 174   13]
 [ 199   81]]","[[-190 -142]
 [ -88 -103]
 [ 192  164]
 [  87  -65]
 [  97 -162]
 [ 150  158]]",1.0,"frozenset({-190, -177, 81, 146, -135, 90, -38, 155, -163, -142, -75, 118, 120, 121, -70, -67, -193})"
97,97,2,5,4,36,0.3,0.5,1.7261056405407769,0.7004813295081599,1.1320134770364767,1.4683634095443017,"[[-149  131]
 [ 146 -124]]","[[ 124 -173]
 [ 194  -86]
 [ -85  -46]
 [ 196  -30]
 [ 157  -98]]","[[ 196  -30]
 [ 157  -98]
 [-193 -133]
 [ 152  182]]",1.0,"frozenset({-124, 146, -149, 131})"
