,Unnamed: 0,Num_Cells_Strain1,Num_Cells_Strain2,t_deg,k_degA,k_degB,ratioS1,ratioS2,posS1,posS2,Stability
1,1,6,1,24,0.1,0.6,1.116621143848631,0.0,"[[ -18 -178]
 [ -44   37]
 [-142  117]
 [ -70   13]
 [-132  184]
 [-139   72]]",[[-150  166]],1.0
3,3,3,3,12,0.6,0.5,1.1203912033019263,1.4120792762958336,"[[  71   37]
 [   2 -106]
 [ -94   81]]","[[  32  -96]
 [ -14   87]
 [-171  153]]",1.0
4,4,3,3,24,0.6,0.5,1.1203912033019263,1.4120792762958336,"[[  71   37]
 [   2 -106]
 [ -94   81]]","[[  32  -96]
 [ -14   87]
 [-171  153]]",1.0
5,5,3,3,36,0.6,0.5,1.1203912033019263,1.4120792762958336,"[[  71   37]
 [   2 -106]
 [ -94   81]]","[[  32  -96]
 [ -14   87]
 [-171  153]]",1.0
6,6,3,3,46,0.6,0.5,1.1203912033019263,1.4120792762958336,"[[  71   37]
 [   2 -106]
 [ -94   81]]","[[  32  -96]
 [ -14   87]
 [-171  153]]",1.0
7,7,3,3,12,0.6,0.6,1.1203912033019263,1.4120792762958336,"[[  71   37]
 [   2 -106]
 [ -94   81]]","[[  32  -96]
 [ -14   87]
 [-171  153]]",1.0
8,8,3,3,24,0.6,0.6,1.1203912033019263,1.4120792762958336,"[[  71   37]
 [   2 -106]
 [ -94   81]]","[[  32  -96]
 [ -14   87]
 [-171  153]]",1.0
9,9,3,3,36,0.6,0.6,1.1203912033019263,1.4120792762958336,"[[  71   37]
 [   2 -106]
 [ -94   81]]","[[  32  -96]
 [ -14   87]
 [-171  153]]",1.0
10,10,3,3,46,0.6,0.6,1.1203912033019263,1.4120792762958336,"[[  71   37]
 [   2 -106]
 [ -94   81]]","[[  32  -96]
 [ -14   87]
 [-171  153]]",1.0
11,11,6,1,36,0.1,0.6,1.116621143848631,0.0,"[[ -18 -178]
 [ -44   37]
 [-142  117]
 [ -70   13]
 [-132  184]
 [-139   72]]",[[-150  166]],1.0
12,12,6,1,46,0.1,0.6,1.116621143848631,0.0,"[[ -18 -178]
 [ -44   37]
 [-142  117]
 [ -70   13]
 [-132  184]
 [-139   72]]",[[-150  166]],1.0
17,17,6,1,12,0.3,0.5,1.116621143848631,0.0,"[[ -18 -178]
 [ -44   37]
 [-142  117]
 [ -70   13]
 [-132  184]
 [-139   72]]",[[-150  166]],1.0
18,18,6,1,24,0.3,0.5,1.116621143848631,0.0,"[[ -18 -178]
 [ -44   37]
 [-142  117]
 [ -70   13]
 [-132  184]
 [-139   72]]",[[-150  166]],1.0
19,19,6,1,36,0.3,0.5,1.116621143848631,0.0,"[[ -18 -178]
 [ -44   37]
 [-142  117]
 [ -70   13]
 [-132  184]
 [-139   72]]",[[-150  166]],1.0
21,21,6,1,46,0.3,0.5,1.116621143848631,0.0,"[[ -18 -178]
 [ -44   37]
 [-142  117]
 [ -70   13]
 [-132  184]
 [-139   72]]",[[-150  166]],1.0
22,22,6,1,12,0.3,0.6,1.116621143848631,0.0,"[[ -18 -178]
 [ -44   37]
 [-142  117]
 [ -70   13]
 [-132  184]
 [-139   72]]",[[-150  166]],1.0
23,23,6,1,24,0.3,0.6,1.116621143848631,0.0,"[[ -18 -178]
 [ -44   37]
 [-142  117]
 [ -70   13]
 [-132  184]
 [-139   72]]",[[-150  166]],1.0
24,24,6,1,36,0.3,0.6,1.116621143848631,0.0,"[[ -18 -178]
 [ -44   37]
 [-142  117]
 [ -70   13]
 [-132  184]
 [-139   72]]",[[-150  166]],1.0
25,25,6,1,46,0.3,0.6,1.116621143848631,0.0,"[[ -18 -178]
 [ -44   37]
 [-142  117]
 [ -70   13]
 [-132  184]
 [-139   72]]",[[-150  166]],1.0
31,31,6,1,36,0.1,0.3,1.116621143848631,0.0,"[[ -18 -178]
 [ -44   37]
 [-142  117]
 [ -70   13]
 [-132  184]
 [-139   72]]",[[-150  166]],1.0
35,35,6,1,12,0.6,0.6,1.116621143848631,0.0,"[[ -18 -178]
 [ -44   37]
 [-142  117]
 [ -70   13]
 [-132  184]
 [-139   72]]",[[-150  166]],1.0
36,36,6,1,24,0.6,0.6,1.116621143848631,0.0,"[[ -18 -178]
 [ -44   37]
 [-142  117]
 [ -70   13]
 [-132  184]
 [-139   72]]",[[-150  166]],1.0
38,38,6,1,46,0.6,0.6,1.116621143848631,0.0,"[[ -18 -178]
 [ -44   37]
 [-142  117]
 [ -70   13]
 [-132  184]
 [-139   72]]",[[-150  166]],1.0
44,44,1,9,12,0.1,0.5,0.0,1.4216465262644744,[[-81 -35]],"[[  93 -186]
 [ -30  -11]
 [-156   70]
 [-129   36]
 [  37 -139]
 [ 193 -138]
 [  17  132]
 [-119   68]
 [-168 -178]]",1.0
45,45,1,9,24,0.1,0.5,0.0,1.4216465262644744,[[-81 -35]],"[[  93 -186]
 [ -30  -11]
 [-156   70]
 [-129   36]
 [  37 -139]
 [ 193 -138]
 [  17  132]
 [-119   68]
 [-168 -178]]",1.0
46,46,1,9,36,0.1,0.5,0.0,1.4216465262644744,[[-81 -35]],"[[  93 -186]
 [ -30  -11]
 [-156   70]
 [-129   36]
 [  37 -139]
 [ 193 -138]
 [  17  132]
 [-119   68]
 [-168 -178]]",1.0
47,47,1,9,46,0.1,0.5,0.0,1.4216465262644744,[[-81 -35]],"[[  93 -186]
 [ -30  -11]
 [-156   70]
 [-129   36]
 [  37 -139]
 [ 193 -138]
 [  17  132]
 [-119   68]
 [-168 -178]]",1.0
50,50,1,9,36,0.1,0.6,0.0,1.4216465262644744,[[-81 -35]],"[[  93 -186]
 [ -30  -11]
 [-156   70]
 [-129   36]
 [  37 -139]
 [ 193 -138]
 [  17  132]
 [-119   68]
 [-168 -178]]",1.0
51,51,1,9,46,0.1,0.6,0.0,1.4216465262644744,[[-81 -35]],"[[  93 -186]
 [ -30  -11]
 [-156   70]
 [-129   36]
 [  37 -139]
 [ 193 -138]
 [  17  132]
 [-119   68]
 [-168 -178]]",1.0
53,53,6,1,12,0.1,0.5,1.116621143848631,0.0,"[[ -18 -178]
 [ -44   37]
 [-142  117]
 [ -70   13]
 [-132  184]
 [-139   72]]",[[-150  166]],1.0
61,61,1,9,12,0.3,0.6,0.0,1.4216465262644744,[[-81 -35]],"[[  93 -186]
 [ -30  -11]
 [-156   70]
 [-129   36]
 [  37 -139]
 [ 193 -138]
 [  17  132]
 [-119   68]
 [-168 -178]]",1.0
62,62,1,9,24,0.3,0.6,0.0,1.4216465262644744,[[-81 -35]],"[[  93 -186]
 [ -30  -11]
 [-156   70]
 [-129   36]
 [  37 -139]
 [ 193 -138]
 [  17  132]
 [-119   68]
 [-168 -178]]",1.0
63,63,1,9,36,0.3,0.6,0.0,1.4216465262644744,[[-81 -35]],"[[  93 -186]
 [ -30  -11]
 [-156   70]
 [-129   36]
 [  37 -139]
 [ 193 -138]
 [  17  132]
 [-119   68]
 [-168 -178]]",1.0
64,64,6,1,24,0.1,0.5,1.116621143848631,0.0,"[[ -18 -178]
 [ -44   37]
 [-142  117]
 [ -70   13]
 [-132  184]
 [-139   72]]",[[-150  166]],1.0
65,65,1,9,46,0.3,0.6,0.0,1.4216465262644744,[[-81 -35]],"[[  93 -186]
 [ -30  -11]
 [-156   70]
 [-129   36]
 [  37 -139]
 [ 193 -138]
 [  17  132]
 [-119   68]
 [-168 -178]]",1.0
72,72,1,9,36,0.6,0.5,0.0,1.4216465262644744,[[-81 -35]],"[[  93 -186]
 [ -30  -11]
 [-156   70]
 [-129   36]
 [  37 -139]
 [ 193 -138]
 [  17  132]
 [-119   68]
 [-168 -178]]",1.0
73,73,1,9,46,0.6,0.5,0.0,1.4216465262644744,[[-81 -35]],"[[  93 -186]
 [ -30  -11]
 [-156   70]
 [-129   36]
 [  37 -139]
 [ 193 -138]
 [  17  132]
 [-119   68]
 [-168 -178]]",1.0
74,74,1,9,12,0.6,0.6,0.0,1.4216465262644744,[[-81 -35]],"[[  93 -186]
 [ -30  -11]
 [-156   70]
 [-129   36]
 [  37 -139]
 [ 193 -138]
 [  17  132]
 [-119   68]
 [-168 -178]]",1.0
75,75,6,1,36,0.1,0.5,1.116621143848631,0.0,"[[ -18 -178]
 [ -44   37]
 [-142  117]
 [ -70   13]
 [-132  184]
 [-139   72]]",[[-150  166]],1.0
76,76,1,9,24,0.6,0.6,0.0,1.4216465262644744,[[-81 -35]],"[[  93 -186]
 [ -30  -11]
 [-156   70]
 [-129   36]
 [  37 -139]
 [ 193 -138]
 [  17  132]
 [-119   68]
 [-168 -178]]",1.0
77,77,1,9,36,0.6,0.6,0.0,1.4216465262644744,[[-81 -35]],"[[  93 -186]
 [ -30  -11]
 [-156   70]
 [-129   36]
 [  37 -139]
 [ 193 -138]
 [  17  132]
 [-119   68]
 [-168 -178]]",1.0
78,78,1,9,46,0.6,0.6,0.0,1.4216465262644744,[[-81 -35]],"[[  93 -186]
 [ -30  -11]
 [-156   70]
 [-129   36]
 [  37 -139]
 [ 193 -138]
 [  17  132]
 [-119   68]
 [-168 -178]]",1.0
83,83,3,3,12,0.1,0.5,1.1203912033019263,1.4120792762958336,"[[  71   37]
 [   2 -106]
 [ -94   81]]","[[  32  -96]
 [ -14   87]
 [-171  153]]",1.0
84,84,3,3,24,0.1,0.5,1.1203912033019263,1.4120792762958336,"[[  71   37]
 [   2 -106]
 [ -94   81]]","[[  32  -96]
 [ -14   87]
 [-171  153]]",1.0
85,85,3,3,36,0.1,0.5,1.1203912033019263,1.4120792762958336,"[[  71   37]
 [   2 -106]
 [ -94   81]]","[[  32  -96]
 [ -14   87]
 [-171  153]]",1.0
