,Num_Cells_Strain1,Num_Cells_Strain2,t_deg,k_degA,k_degB,ratioS1,ratioS2,posS1,posS2,Stability
71,8,4,46,0.1,0.3,1.0743679006202584,0.5844714548883782,"[[ -45   97]
 [   0  199]
 [-150 -134]
 [-130  -32]
 [ 200   73]
 [-142  -31]
 [-152 -194]
 [ 107  185]]","[[ -57 -141]
 [  22   -8]
 [ -24 -198]
 [-115 -185]]",0.4
76,4,7,46,0.1,0.3,0.974617469586653,1.0190321823793744,"[[-108 -172]
 [-188  116]
 [  30   52]
 [ -89 -188]]","[[-111 -116]
 [ -98  151]
 [ -41  110]
 [ 198  -27]
 [-171 -105]
 [ 150   -2]
 [ 196   59]]",0.8
116,8,4,46,0.1,0.3,1.177532024727884,0.9261724713943936,"[[-178 -148]
 [-185  -45]
 [ 196    5]
 [ 199 -188]
 [-166  143]
 [-132  -16]
 [ 127  -79]
 [ -82   89]]","[[ 128   15]
 [   3  106]
 [-185    0]
 [-125  137]]",0.3
230,1,9,46,0.1,0.3,0.0,0.7571789235033516,[[ 163 -161]],"[[ 129  125]
 [ -91 -140]
 [ 181   23]
 [ 172   99]
 [ -51   38]
 [-188  -48]
 [  -2   69]
 [ 144  -23]
 [ -72   47]]",0.3
315,8,1,46,0.1,0.3,0.6952459307884866,0.0,"[[ -18 -160]
 [  33 -146]
 [ -37 -134]
 [  45    3]
 [ -24   84]
 [ 146  -14]
 [ -60  187]
 [ -98  -22]]",[[-196  123]],0.6
416,2,9,46,0.1,0.3,1.4745591776555538,1.0271345442156083,"[[-97 115]
 [198  91]]","[[ 137  109]
 [-101  118]
 [ 104  116]
 [  57   20]
 [-177  -71]
 [  80   25]
 [ 168  128]
 [-151 -147]
 [-111   10]]",0.2
478,4,7,46,0.1,0.3,0.980426108754632,0.9217223170387598,"[[-147 -156]
 [-112  -97]
 [ 172   -5]
 [ -97  -60]]","[[-126 -110]
 [  97  127]
 [  38 -149]
 [ -86   59]
 [  14   -6]
 [-110  107]
 [ -92   77]]",0.8
552,8,5,46,0.1,0.3,0.7993491188082456,0.7972920282404012,"[[  15 -149]
 [  -9   -1]
 [   7 -175]
 [ 136  -10]
 [  41   -4]
 [  47 -113]
 [ 158   95]
 [   6  -21]]","[[   1  -86]
 [  91 -170]
 [ -32 -185]
 [-133 -121]
 [-131 -185]]",0.7
575,3,10,46,0.1,0.3,1.1293008875382098,0.9975293642099868,"[[  11  -82]
 [-168  127]
 [  68  102]]","[[ -69 -128]
 [ -41  -22]
 [-137  -96]
 [ 143 -107]
 [ -28  -52]
 [ -88 -138]
 [  84  189]
 [ 183 -112]
 [ 109  190]
 [  76  -11]]",0.2
704,8,5,46,0.1,0.3,1.0355512397655997,0.9407548959012384,"[[ 101  154]
 [ -52 -154]
 [ -77 -156]
 [-192  146]
 [-157 -140]
 [-101 -188]
 [ 150  -61]
 [  86   66]]","[[ 132   29]
 [ 156  -84]
 [ 101 -148]
 [ -53   58]
 [ -79  189]]",0.7
