,Num_Cells_Strain1,Num_Cells_Strain2,t_deg,k_degA,k_degB,ratioS1,ratioS2,posS1,posS2,Stability
62,4,7,24,0.1,0.3,0.974617469586653,1.0190321823793744,"[[-108 -172]
 [-188  116]
 [  30   52]
 [ -89 -188]]","[[-111 -116]
 [ -98  151]
 [ -41  110]
 [ 198  -27]
 [-171 -105]
 [ 150   -2]
 [ 196   59]]",0.8
106,8,4,24,0.1,0.3,1.177532024727884,0.9261724713943936,"[[-178 -148]
 [-185  -45]
 [ 196    5]
 [ 199 -188]
 [-166  143]
 [-132  -16]
 [ 127  -79]
 [ -82   89]]","[[ 128   15]
 [   3  106]
 [-185    0]
 [-125  137]]",0.7
220,1,9,24,0.1,0.3,0.0,0.7571789235033516,[[ 163 -161]],"[[ 129  125]
 [ -91 -140]
 [ 181   23]
 [ 172   99]
 [ -51   38]
 [-188  -48]
 [  -2   69]
 [ 144  -23]
 [ -72   47]]",0.3
305,8,1,24,0.1,0.3,0.6952459307884866,0.0,"[[ -18 -160]
 [  33 -146]
 [ -37 -134]
 [  45    3]
 [ -24   84]
 [ 146  -14]
 [ -60  187]
 [ -98  -22]]",[[-196  123]],0.5
394,2,9,24,0.1,0.3,1.4745591776555538,1.0271345442156083,"[[-97 115]
 [198  91]]","[[ 137  109]
 [-101  118]
 [ 104  116]
 [  57   20]
 [-177  -71]
 [  80   25]
 [ 168  128]
 [-151 -147]
 [-111   10]]",0.2
469,4,7,24,0.1,0.3,0.980426108754632,0.9217223170387598,"[[-147 -156]
 [-112  -97]
 [ 172   -5]
 [ -97  -60]]","[[-126 -110]
 [  97  127]
 [  38 -149]
 [ -86   59]
 [  14   -6]
 [-110  107]
 [ -92   77]]",0.7
531,8,5,24,0.1,0.3,0.7993491188082456,0.7972920282404012,"[[  15 -149]
 [  -9   -1]
 [   7 -175]
 [ 136  -10]
 [  41   -4]
 [  47 -113]
 [ 158   95]
 [   6  -21]]","[[   1  -86]
 [  91 -170]
 [ -32 -185]
 [-133 -121]
 [-131 -185]]",0.7
690,8,5,24,0.1,0.3,1.0355512397655997,0.9407548959012384,"[[ 101  154]
 [ -52 -154]
 [ -77 -156]
 [-192  146]
 [-157 -140]
 [-101 -188]
 [ 150  -61]
 [  86   66]]","[[ 132   29]
 [ 156  -84]
 [ 101 -148]
 [ -53   58]
 [ -79  189]]",0.7
766,10,3,24,0.1,0.3,1.0333181558482023,1.3112001602789645,"[[  36  115]
 [ -78   95]
 [ -65 -192]
 [-155  -87]
 [  80   31]
 [ 162 -149]
 [ 160 -186]
 [-197  -33]
 [-186  -67]
 [ -30  -68]]","[[-126  -30]
 [-141 -166]
 [ 163   95]]",0.3
798,2,10,24,0.1,0.3,1.5258562552460615,0.8560471230384687,"[[  52  150]
 [-163 -140]]","[[ 171  186]
 [ -19  142]
 [  85 -115]
 [ 119  -60]
 [-186 -105]
 [  78  -18]
 [ 114  -40]
 [  22  -99]
 [  96  -34]
 [ -97  188]]",0.2
866,3,9,24,0.1,0.3,1.1568771276288483,0.9150680530605444,"[[-191  105]
 [-105  -18]
 [  76    9]]","[[ -74 -150]
 [ -44  114]
 [ -44  160]
 [ -34   88]
 [ 139   38]
 [  77   20]
 [ -28  -29]
 [ 179    3]
 [  52   24]]",0.7
929,2,9,24,0.1,0.3,1.316935852061928,1.076242638056824,"[[ 167  135]
 [  72 -150]]","[[-126   83]
 [  69  158]
 [-120   64]
 [-157  -79]
 [ -37 -133]
 [  69  -44]
 [ 159  174]
 [ 167   42]
 [ 188 -186]]",0.3
952,3,3,24,0.1,0.3,1.0033548566988624,0.975533993434318,"[[  22  -23]
 [-125   70]
 [-178  -97]]","[[-158 -188]
 [ -36 -155]
 [  73  -50]]",0.4
1063,1,5,24,0.1,0.3,0.0,0.7955402919149035,[[-164 -171]],"[[  74    2]
 [-136  -47]
 [ 125  -78]
 [  -1   72]
 [-190   24]]",0.4
1104,10,8,24,0.1,0.3,1.1968416301300129,0.8957772890577547,"[[ 160 -120]
 [-152  175]
 [ 107  175]
 [  84  174]
 [ 151  120]
 [-124  112]
 [ 149 -139]
 [ -24  -13]
 [ -22 -200]
 [  96  104]]","[[ 153  -94]
 [ -69   91]
 [  65   25]
 [-140   79]
 [ 167   89]
 [  68 -103]
 [ 117   40]
 [ -59   23]]",0.4
1164,10,4,24,0.1,0.3,1.1689082758820528,0.9567967813262798,"[[ 157 -163]
 [ 144  122]
 [ 155 -191]
 [ 183   67]
 [ 129  -25]
 [ -15 -190]
 [ 165  178]
 [-195   54]
 [-167   47]
 [  36   97]]","[[ -98 -111]
 [  58   61]
 [ 116  183]
 [   5  -59]]",0.3
1250,2,4,24,0.1,0.3,1.514901501540497,0.9094198605196888,"[[-150   61]
 [ 146 -135]]","[[  20  -21]
 [ -97 -107]
 [ 133  192]
 [ 105   62]]",0.7
1335,4,5,24,0.1,0.3,1.223315832041978,0.9637903994797716,"[[ -33  181]
 [ 142 -158]
 [ -36  110]
 [-134 -163]]","[[ -52 -133]
 [ -87   56]
 [-173   93]
 [-184   39]
 [ 177  107]]",0.8
1358,7,2,24,0.1,0.3,0.5808865857735815,1.7669774034133563,"[[ 122  -82]
 [  -3 -153]
 [  -6 -125]
 [  91  -67]
 [ -39 -101]
 [ -18  -68]
 [-140 -117]]","[[   8 -179]
 [-163  128]]",0.8
1465,3,1,24,0.1,0.3,1.1760698110026997,0.0,"[[ 187 -192]
 [ 189 -188]
 [  57   89]]",[[  54 -167]],0.4
1490,2,2,24,0.1,0.3,1.5006084927928065,0.94164206912538,"[[  28 -144]
 [ -68  137]]","[[  7 198]
 [ 71  23]]",0.5
1539,8,8,24,0.1,0.3,0.7184076053246473,0.8370038438037039,"[[-191  159]
 [-117  143]
 [-105  113]
 [ 110  125]
 [ 118  106]
 [ 113   91]
 [ 192    7]
 [  91  155]]","[[  55    5]
 [-197  -45]
 [ -14 -196]
 [  34  100]
 [-184  -73]
 [ 147  -29]
 [ 124  -66]
 [  39 -186]]",0.4
1609,1,2,24,0.1,0.3,0.0,1.3264616923613013,[[-191  -86]],"[[-191   47]
 [ 169  159]]",0.6
1756,1,6,24,0.1,0.3,0.0,1.0113533723662669,[[  95 -173]],"[[  14 -143]
 [  46 -151]
 [-185 -119]
 [ 109   35]
 [-141  103]
 [-168  -67]]",0.6
1838,3,4,24,0.1,0.3,1.3895067098368232,1.1003544530422555,"[[-120   88]
 [ 113 -189]
 [ -78 -174]]","[[ -76  -55]
 [-103 -187]
 [  71 -199]
 [ 197  -64]]",0.4
2051,10,5,24,0.1,0.3,0.922035733537189,1.191456029293258,"[[ -67  -94]
 [ -72   24]
 [ -55  165]
 [  54  132]
 [ -67  -54]
 [-200  -88]
 [   7  -42]
 [-125  186]
 [ -11   28]
 [  25   96]]","[[-184  -52]
 [ -73 -137]
 [ -72   80]
 [ 139   45]
 [-197   44]]",0.7
2100,6,3,24,0.1,0.3,1.022542013841247,1.2684571116579502,"[[  12   52]
 [ 175 -182]
 [-103 -171]
 [ -51  -62]
 [  45 -116]
 [ 191  158]]","[[ 172   83]
 [-147 -145]
 [ -19  116]]",0.7
2156,9,4,24,0.1,0.3,0.8131466055532673,0.7477709049101053,"[[  -8   33]
 [ -79  148]
 [   4   17]
 [  37  -57]
 [  37 -105]
 [ -98  -96]
 [ -49  -82]
 [   8   40]
 [ 125  186]]","[[-165  142]
 [  -6  180]
 [ -73    4]
 [-113  176]]",0.7
